TERITORIJA;KADASTRA_NR;IPASUMA_TIPS;DARIJUMA_SUMMA;KADASTRALA_VERTIBA;PLATIBA;DOM_SK;DOM_SAUC
Jūrmala;13000061217;Zemes nekustams īpašums;67500;19665;0.1152;1;2
Mārupes nov.;80760060307;Zemes un ēkas nekustams īpašums;38000;13156;0.2007;1;1
Rīga;01000600125;Zemes un ēkas nekustams īpašums;88360;3376900;1.1439;58;11439
Daugavpils;05000014407;Zemes un ēkas nekustams īpašums;17000;228856;0.097;77;500
Olaines nov.;80800211447;Zemes nekustams īpašums;175;2572;0.1157;1;2
Rēzekne;21000061011;Zemes un ēkas nekustams īpašums;8700;20643;0.1398;1;2
Jelgava;09000110257;Zemes nekustams īpašums;25612;3892;0.0652;1;1
Rīga;01000722210;Zemes nekustams īpašums;119.9;20036;0.128;697;116472
Rīga;01000150070;Zemes un ēkas nekustams īpašums;5600;168123;0.1059;17;600
Garkalnes nov.;80600030883;Zemes nekustams īpašums;46500;29;0.1501;1;1
Daugavpils;05000093501;Zemes nekustams īpašums;141.97;9546;0.283;61;4908
Mārupes nov.;80760030186;Zemes un ēkas nekustams īpašums;260000;121913;0.128;1;1
Rīga;01000822533;Zemes nekustams īpašums;41000;146055;0.962;28319;962000
Mārupes nov.;80760120804;Zemes nekustams īpašums;34000;27312;0.3;1;1
Rīga;01000642130;Zemes un ēkas nekustams īpašums;2000;75441;0.2104;3659;268532
Alūksnes nov.;36010345736;Zemes nekustams īpašums;72.13;11219;0.9081;82;14759
Rēzeknes nov.;78760011804;Zemes nekustams īpašums;5500;3956;0.069;1;1
Liepāja;17000350118;Zemes un ēkas nekustams īpašums;174500;218552;0.2142;1;1
Cēsu nov.;42010071008;Zemes un ēkas nekustams īpašums;21343;68917;1.9888;1;1
Jelgava;09000160706;Zemes un ēkas nekustams īpašums;3000;3262;0.0643;1;1
Jēkabpils;56010022762;Zemes nekustams īpašums;442.51;2460;0.0691;1;1
Rīga;01001120005;Zemes nekustams īpašums;235;17087;0.0758;5492;397707
Babītes nov.;80480010525;Zemes nekustams īpašums;21000;11385;0.1201;1;1
Jūrmala;13000145922;Zemes un ēkas nekustams īpašums;266950;97261;0.1686;1;1
Rīga;01000640195;Zemes nekustams īpašums;4000;167051;0.2965;147;18113
Saulkrastu nov.;80330021244;Zemes un ēkas nekustams īpašums;162.14;3471;0.061;1;1
Olaines nov.;80800040001;Zemes un ēkas nekustams īpašums;1000;97184;1.6395;1;330
Daugavpils;05000200415;Zemes nekustams īpašums;1900;5700;0.1335;1;3
Olaines nov.;80800110297;Zemes un ēkas nekustams īpašums;86.8;922;0.0649;1;1
Rīga;01001180055;Zemes nekustams īpašums;18000;35464;0.1146;1;2
Rīga;01000740255;Zemes nekustams īpašums;100;30160;0.1413;429;31787
Grobiņas nov.;64760020948;Zemes nekustams īpašums;3500;1847;0.0648;1;1
Ropažu nov.;80840130183;Zemes un ēkas nekustams īpašums;38800;21863;0.0705;1;1
Jēkabpils;56010011212;Zemes un ēkas nekustams īpašums;8000;6757;0.0621;1;1
Jelgava;09000040088;Zemes nekustams īpašums;7500;20075;0.0607;1;2
Salaspils nov.;80310080431;Zemes nekustams īpašums;500;2988;0.06;1;2
Rīga;01000600125;Zemes un ēkas nekustams īpašums;59220;3376900;1.1439;37;11439
Salaspils nov.;80310150053;Zemes nekustams īpašums;4991;2870;0.0721;1;1
Carnikavas nov.;80520041059;Zemes nekustams īpašums;31000;9960;0.1751;1;1
Rīga;01001202659;Zemes nekustams īpašums;3500;46121;0.2001;1;2
Beverīnas nov.;96460010342;Zemes nekustams īpašums;2500;1234;0.1116;1;2
Rīga;01000820415;Zemes nekustams īpašums;125000;40730;0.1335;1;1
Liepāja;17000310060;Zemes un ēkas nekustams īpašums;60000;207121;0.0916;31;459
Rucavas nov.;64840110158;Zemes nekustams īpašums;2099;4198;0.164;1;2
Salaspils nov.;80110041435;Zemes un ēkas nekustams īpašums;67000;66785;0.1017;1;1
Ķekavas nov.;80700081986;Zemes nekustams īpašums;2100;2765;0.1227;1;1
Olaines nov.;80090010403;Zemes nekustams īpašums;2500;37080;0.701;1;2
Ventspils nov.;98840150100;Zemes un ēkas nekustams īpašums;14500;4944;1.4;1;1
Salaspils nov.;80110041617;Zemes un ēkas nekustams īpašums;1100;765266;2.7846;196;120497
Babītes nov.;80880050210;Zemes nekustams īpašums;23000;911;1.04;1;1
Rīga;01000410060;Zemes un ēkas nekustams īpašums;55000;297625;0.0607;2;111
Olaines nov.;80800220231;Zemes un ēkas nekustams īpašums;7000;5594;0.0662;1;1
Daugavpils;05000170818;Zemes un ēkas nekustams īpašums;1900;1546;0.061;1;1
Babītes nov.;80480071105;Zemes nekustams īpašums;12000;11714;0.1542;1;1
Ogres nov.;74010060796;Zemes nekustams īpašums;200;119;0.1031;1;108
